similarity,label
0.62563503,1
0.47772943,1
0.42700155,1
0.54277694,1
0.33132378,1
0.35235044,1
0.53873184,1
0.58639531,1
0.52703818,1
0.50796364,1
0.62515552,1
0.51611334,1
0.47220228,1
0.42854049,1
0.35171557,1
0.41321565,1
0.24587073,1
0.25816969,1
0.35780675,1
0.27632659,1
0.60114758,1
0.58848800,1
0.51118607,1
0.56772036,1
0.44626662,1
0.42453097,1
0.44578993,1
0.43248210,1
0.27692499,1
0.29349648,1
0.60984704,1
0.62470552,1
0.52601364,1
0.49096356,1
0.46604655,1
0.60097261,1
0.62001722,1
0.50950361,1
0.42246290,1
0.51923228,1
0.38364061,1
0.48242241,1
0.41038037,1
0.33694279,1
0.18253105,1
0.36828540,1
0.30550216,1
0.43496287,1
0.56338330,1
0.54446538,1
0.35356929,1
0.56650528,1
0.39317575,1
0.42028864,1
0.52207340,1
0.47933483,1
0.46746280,1
0.37340057,1
0.34759068,1
0.37995760,1
0.50829828,1
0.41554812,1
0.30413654,1
0.23149972,1
0.29457796,1
0.35178762,1
0.33944327,1
0.40893058,1
0.55680698,1
0.55876802,1
0.37874165,1
0.48444235,1
0.51154302,1
0.43979925,1
0.53785655,1
0.50699260,1
0.59174481,1
0.57603513,1
0.44099346,1
0.41188608,1
0.48197782,1
0.36907357,1
0.52854519,1
0.37272308,1
0.22361872,1
0.18074924,1
0.43566525,1
0.30869668,1
0.38947698,1
0.43037129,1
0.36532268,1
0.61418757,1
0.66389604,1
0.54605056,1
0.58961841,1
0.60241315,1
0.43494757,1
0.42859025,1
0.39243905,1
0.54454452,1
0.28536164,1
0.37345540,1
0.36584202,1
0.50887020,1
0.54632449,1
0.55681880,1
0.44743821,1
0.58592370,1
0.33452499,1
0.41943557,1
0.51233921,1
0.39149250,1
0.40893647,1
0.41812588,1
0.52963774,1
0.27727556,1
0.56538751,1
0.28007739,1
0.48315469,1
0.23753786,1
0.36675852,1
0.35902101,1
0.38242122,1
0.50531744,1
0.58465301,1
0.54921922,1
0.51599172,1
0.52643896,1
0.36863974,1
0.36690317,1
0.49134074,1
0.39342896,1
0.34459876,1
0.43412926,1
0.49436144,1
0.41662695,1
0.21862501,1
0.53395549,1
0.69184257,1
0.48055240,1
0.39376995,1
0.31477984,1
0.34001137,1
0.38200164,1
0.50414232,1
0.50230880,1
0.40426510,1
0.45042745,1
0.52421668,1
0.33687586,1
0.32007316,1
0.35907620,1
0.32585491,1
0.33310091,1
0.17917947,1
0.15535788,1
0.29356037,1
0.17352307,1
0.33734288,1
0.35482823,1
0.20031685,1
0.26573940,1
0.17155170,1
0.26427876,1
0.20727214,1
0.12894130,1
0.31394388,1
0.32311769,1
0.24473786,1
0.17045759,1
0.25125865,1
0.18523226,1
0.04976472,1
0.37771779,1
0.53142891,1
0.44094870,1
0.43801282,1
0.40136099,1
0.47130933,1
0.39012016,1
0.34850256,1
0.33628814,1
0.54312854,1
0.23674956,1
0.26520421,1
0.46007914,1
0.41981282,1
0.11013147,1
0.37174563,1
0.25180619,1
0.21034276,1
0.37985045,1
0.36740315,1
0.31013818,1
0.39714031,1
0.33008541,1
0.31876120,1
0.39995024,1
0.39607111,1
0.44285492,1
0.39630738,1
0.28942430,1
0.15662671,1
0.25650049,1
0.26095800,1
0.29311005,1
0.17712791,1
0.32769577,1
0.15819958,1
0.26551328,1
0.49729945,1
0.22567583,1
0.42656132,1
0.43619065,1
0.46955441,1
0.36980756,1
0.34520424,1
0.26278991,1
0.40517327,1
0.40923058,1
0.41524852,1
0.45182740,1
0.29475779,1
0.34635566,1
0.33217495,1
0.46322141,1
0.22479614,1
0.28167273,1
0.21004411,1
0.21257307,1
0.43113572,1
0.33581793,1
0.25602714,1
0.29337568,1
0.35439515,1
0.24823996,1
0.27145823,1
0.29632762,1
0.34820143,1
0.30986614,1
0.30520825,1
0.22176417,1
0.31292031,1
0.24126231,1
0.25454054,1
0.12407207,1
0.28783924,1
0.14243133,1
0.26649024,1
0.41196249,1
0.49477379,1
0.15982028,1
0.57249261,1
0.41401608,1
0.48544675,1
0.37542512,1
0.42239246,1
0.37080742,1
0.42521876,1
0.39229300,1
0.32230562,1
0.36406703,1
0.50511179,1
0.36609324,1
0.34598576,1
0.38129198,1
0.12113725,1
0.34155684,1
0.34386743,1
0.21731257,1
0.41350885,1
0.49478326,1
0.38069522,1
0.36712537,1
0.36233454,1
0.28962099,1
0.44862436,1
0.36500725,1
0.31305852,1
0.10560800,1
0.42468394,1
0.36546620,1
0.52652228,1
0.43267773,1
0.36227343,1
0.46549437,1
0.42711820,1
0.42076430,1
0.40938430,1
0.35874103,1
0.41733483,1
0.38137804,1
0.40853449,1
0.43171601,1
0.38510912,1
0.22115061,1
0.43233971,1
0.45837572,1
0.41663811,1
0.32411353,1
0.26268960,1
0.21379223,1
0.27593074,1
0.25372195,1
0.29067698,1
0.40113460,1
0.29764917,1
0.31495068,1
0.40630841,1
0.16686996,1
0.21067034,1
0.34091922,1
0.19787621,1
0.26039701,1
0.24931867,1
0.66398781,1
0.47180321,1
0.38622187,1
0.47142067,1
0.29688491,1
0.54446686,1
0.42058965,1
0.36866699,1
0.10330909,1
0.37891893,1
0.27635561,1
0.34964484,1
0.41993539,1
0.27574377,1
0.46004138,1
0.39009358,1
0.32871810,1
0.30556874,1
0.26912400,1
0.34300620,1
0.28966765,1
0.36341646,1
0.31583186,1
0.44181165,1
0.37289794,1
0.35801032,1
0.27755531,1
0.31762729,1
0.17389965,1
0.12418700,1
0.31041188,1
0.41408331,1
0.34706144,1
0.32821951,1
0.45766813,1
0.43299514,1
0.32096409,1
0.32182935,1
0.28202618,1
0.32752097,1
0.34544064,1
0.16868373,1
0.16062045,1
0.22580949,1
0.39145847,1
0.40145691,1
0.40272513,1
0.18877289,1
0.29292622,1
0.32942299,1
0.23305463,1
0.42668761,1
0.34499143,1
0.19596973,1
0.31304488,1
0.26544881,1
0.19830358,1
0.31535734,1
0.43912754,1
0.22412366,1
0.35983950,1
0.25272461,1
0.30632924,1
0.49493219,1
0.28610912,1
0.29572753,1
0.38179475,1
0.12833546,1
0.13514833,1
0.31147338,1
0.23204626,1
0.23737833,1
0.20579484,1
0.32468802,1
0.50485846,1
0.45023952,1
0.52311734,1
0.40348935,1
0.40762230,1
0.29284550,1
0.30987618,1
0.35921422,1
0.30698941,1
0.26828652,1
0.19893067,1
0.24798627,1
0.31665591,1
0.43357114,1
0.43726351,1
0.34877566,1
0.33403957,1
0.40005403,1
0.28930872,1
0.35840165,1
0.33974392,1
0.29718760,1
0.26138568,1
0.31357584,1
0.31170193,1
0.33021924,1
0.46274435,1
0.38807407,1
0.34747100,1
0.35608646,1
0.26892585,1
0.26630163,1
0.47371701,1
0.42925040,1
0.37582420,1
0.18783656,1
0.32744861,1
0.32482663,1
0.29108805,1
0.30973750,1
0.35611471,1
0.32257368,1
0.29487369,1
0.36923700,1
0.23699279,1
0.37096049,1
0.33749766,1
0.37244472,1
0.35284403,1
0.28876327,1
0.38945535,1
0.39659361,1
0.35870402,1
0.19042116,1
0.17439563,1
0.14862545,1
0.17016466,1
0.38670693,1
0.30465737,1
0.50217346,1
0.40447505,1
0.30376475,1
0.38625661,1
0.24351859,1
0.31052047,1
0.32311754,1
0.36194404,1
0.24282926,1
0.31450823,1
0.36007366,1
0.32318258,1
0.25926766,1
0.35158103,1
0.20884118,1
0.25533442,1
0.13483302,1
0.31068186,1
0.21793510,1
0.22228774,1
0.39141574,1
0.21169496,1
0.18282328,1
0.48833421,1
0.20065217,1
0.30036302,1
0.31441279,1
0.28391275,1
0.20908635,1
0.50308286,1
0.21190717,1
0.24927440,1
0.19517898,1
0.13435816,1
0.16297309,1
0.11961141,1
0.28662359,1
0.17834606,1
0.14167215,1
0.12634613,1
0.12764414,1
0.11788754,1
0.14159786,1
0.27310934,1
0.21729240,1
0.38958110,1
0.29090603,1
0.23836142,1
0.34701127,1
0.11959710,1
0.21686278,1
0.29115562,1
0.24870932,1
0.28431590,1
0.11803886,1
0.29532865,1
0.15310599,1
0.25133260,1
0.12972346,1
0.20123211,1
0.21470860,1
0.34212073,1
0.24992559,1
0.26250495,1
0.26870317,1
0.13607147,1
0.28970851,1
0.48090925,1
0.51715122,1
0.40930617,1
0.39797027,1
0.28090655,1
0.43984042,1
0.36002524,1
0.40214929,1
0.32042841,1
0.47403061,1
0.31970019,1
0.28072075,1
0.35323396,1
0.45739602,1
0.35486591,1
0.36617203,1
0.24901600,1
0.33652001,1
0.33697469,1
0.11409869,1
0.26242952,1
0.21969590,1
0.40276272,1
0.26112644,1
0.30205939,1
0.41557097,1
0.37271458,1
0.36976584,1
0.23311129,1
0.26935133,1
0.22888602,1
0.31588097,1
0.32047490,1
0.19873521,1
0.12865896,1
0.37616004,1
0.22527484,1
0.45593262,1
0.45324133,1
0.42615285,1
0.22892020,1
0.20540776,1
0.34603999,1
0.26676529,1
0.34820567,1
0.24430107,1
0.22415905,1
0.13761488,1
0.35767887,1
0.42473105,1
0.39296623,1
0.41188242,1
0.21719614,1
0.21772392,1
0.31593748,1
0.26429300,1
0.18294277,1
0.32655030,1
0.21158725,1
0.33639791,1
0.29306197,1
0.28664902,1
0.34637834,1
0.07023400,1
0.36216674,1
0.46332777,1
0.35179810,1
0.45951045,1
0.37796810,1
0.52219293,1
0.41927872,1
0.30988766,1
0.28431483,1
0.31958828,1
0.32537068,1
0.27382301,1
0.32637111,1
0.32040130,1
0.32143449,1
0.32262686,1
0.47228948,1
0.27803720,1
0.32861417,1
0.31796242,1
0.42864533,1
0.36307596,1
0.35391533,1
0.18876473,1
0.58788889,1
0.46615873,1
0.31436091,1
0.43714448,1
0.43977154,1
0.26933174,1
0.20168524,1
0.37464650,1
0.36089128,1
0.27851636,1
0.29604256,1
0.29895901,1
0.18081132,1
0.32147341,1
0.38375656,1
0.51922770,1
0.27865204,1
0.46517011,1
0.52253606,1
0.38485089,1
0.43839835,1
0.62367067,1
0.43953624,1
0.22399903,1
0.23045662,1
0.38812558,1
0.36910529,1
0.25451853,1
0.44304717,1
0.35910522,1
0.24918133,1
0.39763713,1
0.29835551,1
