sentTime,receivedTime,diffSeconds
2023-01-15T02:23:36.173Z,2023-01-15T02:23:38.534Z,2.361
2023-01-15T02:23:38.586Z,2023-01-15T02:23:40.916Z,2.33
2023-01-15T02:23:41.895Z,2023-01-15T02:23:44.238Z,2.343
2023-01-15T02:23:44.949Z,2023-01-15T02:23:47.286Z,2.337
2023-01-15T02:23:48.063Z,2023-01-15T02:23:50.505Z,2.442
2023-01-15T02:23:51.290Z,2023-01-15T02:23:53.623Z,2.333
2023-01-15T02:23:54.588Z,2023-01-15T02:23:56.919Z,2.331
2023-01-15T02:23:57.398Z,2023-01-15T02:23:59.729Z,2.331
2023-01-15T02:23:59.835Z,2023-01-15T02:24:02.280Z,2.445
2023-01-15T02:24:02.530Z,2023-01-15T02:24:04.878Z,2.348
2023-01-15T02:24:05.332Z,2023-01-15T02:24:07.704Z,2.372
2023-01-15T02:24:08.269Z,2023-01-15T02:24:10.713Z,2.444
2023-01-15T02:24:11.470Z,2023-01-15T02:24:13.831Z,2.361
2023-01-15T02:24:14.799Z,2023-01-15T02:24:17.139Z,2.34
2023-01-15T02:24:17.216Z,2023-01-15T02:24:19.566Z,2.35
2023-01-15T02:24:20.483Z,2023-01-15T02:24:22.830Z,2.347
2023-01-15T02:24:23.740Z,2023-01-15T02:24:26.073Z,2.333
2023-01-15T02:24:26.314Z,2023-01-15T02:24:28.679Z,2.365
2023-01-15T02:24:29.533Z,2023-01-15T02:24:31.880Z,2.347
2023-01-15T02:24:32.294Z,2023-01-15T02:24:34.681Z,2.387
2023-01-15T02:24:35.459Z,2023-01-15T02:24:37.792Z,2.333
2023-01-15T02:24:38.696Z,2023-01-15T02:24:41.030Z,2.334
2023-01-15T02:24:41.233Z,2023-01-15T02:24:43.572Z,2.339
2023-01-15T02:24:44.157Z,2023-01-15T02:24:46.508Z,2.351
2023-01-15T02:24:46.566Z,2023-01-15T02:24:48.893Z,2.327
2023-01-15T02:24:49.764Z,2023-01-15T02:24:52.093Z,2.329
2023-01-15T02:24:52.762Z,2023-01-15T02:24:55.104Z,2.342
2023-01-15T02:24:55.207Z,2023-01-15T02:24:57.555Z,2.348
2023-01-15T02:24:58.426Z,2023-01-15T02:25:00.739Z,2.313
2023-01-15T02:25:01.179Z,2023-01-15T02:25:03.522Z,2.343
2023-01-15T02:25:04.169Z,2023-01-15T02:25:06.523Z,2.354
2023-01-15T02:25:07.358Z,2023-01-15T02:25:09.848Z,2.49
2023-01-15T02:25:10.569Z,2023-01-15T02:25:12.935Z,2.366
2023-01-15T02:25:13.069Z,2023-01-15T02:25:15.411Z,2.342
2023-01-15T02:25:15.922Z,2023-01-15T02:25:18.266Z,2.344
2023-01-15T02:25:18.958Z,2023-01-15T02:25:21.291Z,2.333
